               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062519,            0.028854,            0.027481,             0.21446,             0.57285,             0.24134,            0.078292,            0.017495,           0.0098077,            0.012261,              0.0705,           0.0032778,           0.0032778
                   1,             0.04243,             0.02162,            0.025456,             0.20236,             0.56445,             0.21917,            0.065359,            0.023362,           0.0054113,            0.012039,            0.040435,           0.0065457,           0.0065457
                   2,             0.04094,            0.017508,            0.025209,              0.2563,             0.72994,             0.36246,             0.15182,            0.014838,            0.005151,            0.011855,            0.010303,           0.0097475,           0.0097475
                   3,            0.036282,            0.016062,            0.024568,             0.32192,             0.83277,             0.47267,             0.18384,            0.014866,           0.0043825,            0.011682,            0.009703,            0.009703,            0.009703
                   4,            0.033266,            0.015467,            0.025555,             0.32629,             0.95969,             0.53077,             0.27767,            0.011781,            0.004109,            0.011525,            0.009703,            0.009703,            0.009703
                   5,            0.033984,            0.015092,            0.026626,             0.31053,             0.75322,             0.38756,             0.16721,            0.012787,              0.0049,            0.011133,            0.009604,            0.009604,            0.009604
                   6,            0.029761,            0.015737,            0.025086,             0.40191,             0.87413,             0.54453,             0.31552,           0.0099222,           0.0045396,            0.010672,            0.009505,            0.009505,            0.009505
                   7,            0.030815,            0.015705,            0.026067,             0.54756,             0.79144,             0.69205,             0.36482,            0.010881,           0.0043345,             0.01045,            0.009406,            0.009406,            0.009406
                   8,            0.027118,            0.015789,            0.022693,             0.55204,             0.85624,             0.73603,             0.41436,            0.010457,            0.004328,           0.0085184,            0.009307,            0.009307,            0.009307
                   9,             0.02694,            0.015089,            0.022326,             0.57336,             0.94737,             0.74304,             0.43177,           0.0092091,           0.0042685,           0.0072318,            0.009208,            0.009208,            0.009208
                  10,            0.028273,            0.014729,            0.022273,             0.58715,             0.89496,             0.74393,             0.34903,            0.011034,           0.0043352,           0.0067087,            0.009109,            0.009109,            0.009109
                  11,            0.025342,            0.014571,            0.021555,             0.55407,             0.94811,             0.74941,             0.38473,            0.011187,            0.004222,           0.0064724,             0.00901,             0.00901,             0.00901
                  12,            0.026874,            0.014959,            0.022044,             0.65062,                   1,             0.76105,             0.41816,           0.0093349,           0.0041676,           0.0066487,            0.008911,            0.008911,            0.008911
                  13,             0.02541,             0.01394,            0.020412,             0.59229,             0.98344,             0.77859,             0.44182,            0.010009,           0.0038911,           0.0063068,            0.008812,            0.008812,            0.008812
                  14,            0.023069,            0.014075,            0.020206,             0.57622,             0.90698,             0.73646,             0.42466,           0.0089371,           0.0044011,           0.0070011,            0.008713,            0.008713,            0.008713
                  15,            0.026896,             0.01472,            0.022071,             0.59173,             0.94737,             0.79127,             0.45107,           0.0095659,           0.0041881,           0.0062995,            0.008614,            0.008614,            0.008614
                  16,            0.024581,            0.015064,            0.020663,             0.59556,             0.93498,             0.79835,             0.47252,           0.0087538,           0.0041359,            0.006164,            0.008515,            0.008515,            0.008515
                  17,            0.023799,            0.013539,              0.0195,             0.78313,             0.99123,             0.93626,             0.56135,           0.0085746,           0.0041585,           0.0049338,            0.008416,            0.008416,            0.008416
                  18,            0.024808,            0.013788,            0.019796,             0.75932,             0.94735,             0.89189,             0.52595,           0.0095654,           0.0042474,            0.004622,            0.008317,            0.008317,            0.008317
                  19,            0.025657,            0.015021,            0.021308,             0.83064,             0.93165,             0.95699,             0.57048,            0.008889,           0.0037631,           0.0044624,            0.008218,            0.008218,            0.008218
                  20,            0.023768,            0.014523,            0.017818,             0.87042,             0.99123,             0.97388,             0.59159,            0.008566,           0.0039066,           0.0032014,            0.008119,            0.008119,            0.008119
                  21,            0.025219,            0.013953,            0.018726,             0.84117,             0.95073,             0.91547,             0.56207,           0.0081849,           0.0039758,           0.0045038,             0.00802,             0.00802,             0.00802
                  22,             0.02208,            0.013462,            0.016085,             0.88881,             0.94042,             0.96431,             0.58009,           0.0097841,           0.0038571,             0.00388,            0.007921,            0.007921,            0.007921
                  23,            0.023262,             0.01364,            0.017414,             0.91204,             0.95621,             0.94483,             0.57097,           0.0088554,            0.004091,           0.0032744,            0.007822,            0.007822,            0.007822
                  24,            0.022594,            0.014367,            0.017249,             0.94709,             0.98632,             0.98692,             0.59353,           0.0087313,           0.0038181,           0.0023563,            0.007723,            0.007723,            0.007723
